index,lon,lat,elevation_m,at_risk
4319,-15.5410783,28.0618936,571.0,False
4320,-15.5407629,28.0680048,645.0,False
4321,-15.5454879,28.0641209,625.0,False
4322,-15.5492651,28.0340014,859.0,False
4323,-15.5506349,28.0589531,624.0,False
4324,-15.5493597,28.0576262,593.0,False
4325,-15.5565281,28.0419377,845.0,False
4326,-15.5440584,28.0371871,825.0,False
4327,-15.5500267,28.0478814,744.0,False
4328,-15.5547297,28.0376715,862.0,False
4329,-15.5417845,28.0796377,601.0,False
4330,-15.5415532,28.0836212,586.0,False
4331,-15.5368654,28.0771062,606.0,False
4332,-15.5427875,28.0854304,609.0,False
4333,-15.5279682,28.0793353,516.0,False
4334,-15.5201358,28.0831555,386.0,False
4335,-15.5208178,28.0740836,476.0,False
4336,-15.5182479,28.0747605,389.0,False
4337,-15.5122315,28.0725378,597.0,False
4338,-13.5104966,28.9878222,31.0,False
4339,-15.5041145,28.128009,206.0,False
4340,-15.5071856,28.1207996,224.0,False
4341,-15.5018947,28.1068045,207.0,False
4342,-15.5020117,28.1166426,266.0,False
4343,-15.5049032,28.1109915,239.0,False
4344,-15.509353,28.1140096,265.0,False
4345,-15.5106986,28.1148647,265.0,False
4346,-15.5136728,28.1136447,252.0,False
4347,-15.5426951,28.1115636,367.0,False
4348,-15.5411449,28.1138487,360.0,False
4349,-15.5378702,28.1163623,310.0,False
4350,-15.5371498,28.1223586,264.0,False
4351,-15.5339042,28.1218817,249.0,False
4352,-15.531766,28.1190202,268.0,False
4353,-15.5192966,28.1190388,268.0,False
4354,-15.516401,28.1224094,269.0,False
4355,-15.5234914,28.123079,311.0,False
4356,-15.5215146,28.1286555,250.0,False
4357,-15.5298346,28.1326114,152.0,False
4358,-15.5152479,28.1395252,142.0,False
4359,-15.5179718,28.143706,106.0,False
4360,-15.5190836,28.1451188,71.0,False
4361,-15.5239178,28.1392231,131.0,False
4362,-15.5212456,28.1399111,138.0,False
4363,-15.5309119,28.1408651,133.0,False
4364,-15.5374949,28.1423752,113.0,False
4365,-15.5378992,28.1451175,63.0,False
4366,-15.5245375,28.1446113,86.0,False
4367,-15.521597,28.1464552,77.0,False
4368,-15.5262995,28.1496924,0.0,True
4369,-15.5293571,28.1460017,30.0,False
4370,-15.5114522,28.0992322,298.0,False
4371,-15.5113937,28.1004561,334.0,False
4372,-15.5103545,28.1043146,288.0,False
4373,-15.5066602,28.1343367,213.0,False
4374,-15.5143915,28.1328012,205.0,False
