time,latitude,longitude,degree_heating_week
UTC,degrees_north,degrees_east,degree_Celsius_weeks
1996-03-01T12:00:00Z,-17.625,178.575,0.84
1996-03-01T12:00:00Z,-17.625,178.625,0.84
1996-03-01T12:00:00Z,-17.675,178.375,NaN
1996-03-01T12:00:00Z,-17.675,178.425,NaN
1996-03-01T12:00:00Z,-17.675,178.475,NaN
1996-03-01T12:00:00Z,-17.675,178.525,NaN
1996-03-01T12:00:00Z,-17.675,178.575,0.8200000000000001
1996-03-01T12:00:00Z,-17.675,178.625,0.67
1996-03-31T12:00:00Z,-17.325,178.375,2.08
1996-03-31T12:00:00Z,-17.325,178.425,2.11
1996-03-31T12:00:00Z,-17.325,178.475,2.13
1996-03-31T12:00:00Z,-17.325,178.525,2.16
1996-03-31T12:00:00Z,-17.325,178.575,2.19
1996-03-31T12:00:00Z,-17.325,178.625,2.21
1996-03-31T12:00:00Z,-17.375,178.375,2.04
1996-03-31T12:00:00Z,-17.375,178.425,2.06
1996-03-31T12:00:00Z,-17.375,178.475,2.08
1996-03-31T12:00:00Z,-17.375,178.525,2.11
1996-03-31T12:00:00Z,-17.375,178.575,2.12
1996-03-31T12:00:00Z,-17.375,178.625,2.15
1996-03-31T12:00:00Z,-17.425,178.375,1.71
1996-03-31T12:00:00Z,-17.425,178.425,1.87
1996-03-31T12:00:00Z,-17.425,178.475,1.8800000000000001
1996-03-31T12:00:00Z,-17.425,178.525,1.8900000000000001
1996-03-31T12:00:00Z,-17.425,178.575,1.92
1996-03-31T12:00:00Z,-17.425,178.625,1.95
1996-03-31T12:00:00Z,-17.475,178.375,1.67
1996-03-31T12:00:00Z,-17.475,178.425,1.83
1996-03-31T12:00:00Z,-17.475,178.475,1.83
1996-03-31T12:00:00Z,-17.475,178.525,1.84
1996-03-31T12:00:00Z,-17.475,178.575,1.86
1996-03-31T12:00:00Z,-17.475,178.625,1.8800000000000001
1996-03-31T12:00:00Z,-17.525,178.375,1.5
1996-03-31T12:00:00Z,-17.525,178.425,1.6500000000000001
1996-03-31T12:00:00Z,-17.525,178.475,1.6500000000000001
1996-03-31T12:00:00Z,-17.525,178.525,1.67
1996-03-31T12:00:00Z,-17.525,178.575,1.67
1996-03-31T12:00:00Z,-17.525,178.625,1.69
1996-03-31T12:00:00Z,-17.575,178.375,1.49
1996-03-31T12:00:00Z,-17.575,178.425,1.62
1996-03-31T12:00:00Z,-17.575,178.475,1.62
1996-03-31T12:00:00Z,-17.575,178.525,1.6300000000000001
1996-03-31T12:00:00Z,-17.575,178.575,1.6400000000000001
1996-03-31T12:00:00Z,-17.575,178.625,1.6500000000000001
1996-03-31T12:00:00Z,-17.625,178.375,NaN
1996-03-31T12:00:00Z,-17.625,178.425,NaN
1996-03-31T12:00:00Z,-17.625,178.475,NaN
1996-03-31T12:00:00Z,-17.625,178.525,1.61
1996-03-31T12:00:00Z,-17.625,178.575,1.62
1996-03-31T12:00:00Z,-17.625,178.625,1.6300000000000001
1996-03-31T12:00:00Z,-17.675,178.375,NaN
1996-03-31T12:00:00Z,-17.675,178.425,NaN
1996-03-31T12:00:00Z,-17.675,178.475,NaN
1996-03-31T12:00:00Z,-17.675,178.525,NaN
1996-03-31T12:00:00Z,-17.675,178.575,1.6
1996-03-31T12:00:00Z,-17.675,178.625,1.62
1996-04-30T12:00:00Z,-17.325,178.375,2.08
1996-04-30T12:00:00Z,-17.325,178.425,2.11
1996-04-30T12:00:00Z,-17.325,178.475,2.13
1996-04-30T12:00:00Z,-17.325,178.525,2.16
1996-04-30T12:00:00Z,-17.325,178.575,2.19
1996-04-30T12:00:00Z,-17.325,178.625,2.21
1996-04-30T12:00:00Z,-17.375,178.375,2.04
1996-04-30T12:00:00Z,-17.375,178.425,2.06
1996-04-30T12:00:00Z,-17.375,178.475,2.08
1996-04-30T12:00:00Z,-17.375,178.525,2.11
1996-04-30T12:00:00Z,-17.375,178.575,2.12
1996-04-30T12:00:00Z,-17.375,178.625,2.15
1996-04-30T12:00:00Z,-17.425,178.375,1.71
1996-04-30T12:00:00Z,-17.425,178.425,1.87
1996-04-30T12:00:00Z,-17.425,178.475,1.8800000000000001
1996-04-30T12:00:00Z,-17.425,178.525,1.8900000000000001
1996-04-30T12:00:00Z,-17.425,178.575,1.92
1996-04-30T12:00:00Z,-17.425,178.625,1.95
1996-04-30T12:00:00Z,-17.475,178.375,1.67
1996-04-30T12:00:00Z,-17.475,178.425,1.83
1996-04-30T12:00:00Z,-17.475,178.475,1.83
1996-04-30T12:00:00Z,-17.475,178.525,1.84
1996-04-30T12:00:00Z,-17.475,178.575,1.86
1996-04-30T12:00:00Z,-17.475,178.625,1.8800000000000001
1996-04-30T12:00:00Z,-17.525,178.375,1.5
1996-04-30T12:00:00Z,-17.525,178.425,1.6500000000000001
1996-04-30T12:00:00Z,-17.525,178.475,1.6500000000000001
1996-04-30T12:00:00Z,-17.525,178.525,1.67
1996-04-30T12:00:00Z,-17.525,178.575,1.67
1996-04-30T12:00:00Z,-17.525,178.625,1.69
1996-04-30T12:00:00Z,-17.575,178.375,1.49
1996-04-30T12:00:00Z,-17.575,178.425,1.62
1996-04-30T12:00:00Z,-17.575,178.475,1.62
1996-04-30T12:00:00Z,-17.575,178.525,1.6300000000000001
1996-04-30T12:00:00Z,-17.575,178.575,1.6400000000000001
1996-04-30T12:00:00Z,-17.575,178.625,1.6500000000000001
1996-04-30T12:00:00Z,-17.625,178.375,NaN
1996-04-30T12:00:00Z,-17.625,178.425,NaN
1996-04-30T12:00:00Z,-17.625,178.475,NaN
1996-04-30T12:00:00Z,-17.625,178.525,1.61
1996-04-30T12:00:00Z,-17.625,178.575,1.62
1996-04-30T12:00:00Z,-17.625,178.625,1.6300000000000001
1996-04-30T12:00:00Z,-17.675,178.375,NaN
1996-04-30T12:00:00Z,-17.675,178.425,NaN
1996-04-30T12:00:00Z,-17.675,178.475,NaN
1996-04-30T12:00:00Z,-17.675,178.525,NaN
1996-04-30T12:00:00Z,-17.675,178.575,1.6
1996-04-30T12:00:00Z,-17.675,178.625,1.62
1996-05-30T12:00:00Z,-17.325,178.375,0.68
1996-05-30T12:00:00Z,-17.325,178.425,0.7000000000000001
1996-05-30T12:00:00Z,-17.325,178.475,0.71
1996-05-30T12:00:00Z,-17.325,178.525,0.72
1996-05-30T12:00:00Z,-17.325,178.575,0.74
1996-05-30T12:00:00Z,-17.325,178.625,0.75
1996-05-30T12:00:00Z,-17.375,178.375,0.66
1996-05-30T12:00:00Z,-17.375,178.425,0.68
1996-05-30T12:00:00Z,-17.375,178.475,0.6900000000000001
1996-05-30T12:00:00Z,-17.375,178.525,0.71
1996-05-30T12:00:00Z,-17.375,178.575,0.72
1996-05-30T12:00:00Z,-17.375,178.625,0.73
1996-05-30T12:00:00Z,-17.425,178.375,0.5
1996-05-30T12:00:00Z,-17.425,178.425,0.66
1996-05-30T12:00:00Z,-17.425,178.475,0.67
1996-05-30T12:00:00Z,-17.425,178.525,0.68
1996-05-30T12:00:00Z,-17.425,178.575,0.7000000000000001
1996-05-30T12:00:00Z,-17.425,178.625,0.71
1996-05-30T12:00:00Z,-17.475,178.375,0.49
1996-05-30T12:00:00Z,-17.475,178.425,0.64
1996-05-30T12:00:00Z,-17.475,178.475,0.65
1996-05-30T12:00:00Z,-17.475,178.525,0.66
1996-05-30T12:00:00Z,-17.475,178.575,0.67
