name,place,lon,lat,elevation_m,at_risk
Plaza de Los Condes de Santa María de Abona,square,-16.5011188,28.1659346,553.0,False
Plaza Flor de Pascua,square,-16.4486202,28.4675755,238.0,False
Lomo Pino de la Linde,locality,-16.5221405,28.1946522,951.0,False
Lomo de Tamadaya,locality,-16.499494,28.1911224,590.0,False
Cañada del Montón de Trigo,locality,-16.5993294,28.2257271,2166.0,False
Mirador de Tamadaba,square,-15.6766718,28.0891288,204.0,False
Plaza Francisco Armas,square,-15.6988411,28.0991995,57.0,False
Unnamed settlement,square,-16.309314,28.4643002,486.0,False
Plaza Valeriano Fernandez Ferraz,square,-15.4257757,28.1126834,24.0,False
Unnamed settlement,square,-16.2877661,28.4506146,272.0,False
Placita de Bencheque,square,-16.2882559,28.4506182,278.0,False
Plaza Dimas Coello,square,-16.3729469,28.3791405,192.0,False
Lomo del Trébol,locality,-18.1012468,27.7437925,515.0,False
Andén del Monte,locality,-16.7400516,28.1704238,783.0,False
Palo la Viña,locality,-16.7361964,28.1739673,854.0,False
Chindia,locality,-16.7042932,28.1939681,1585.0,False
Llano el Negro,locality,-16.7074941,28.2099817,1846.0,False
Lomo de la Fuente,locality,-16.7314123,28.2334334,1527.0,False
Lomo de las Vistas,locality,-16.7288311,28.2264699,1604.0,False
Plaza del Rosario,square,-16.2754134,28.4529518,154.0,False
Unnamed settlement,square,-16.4386981,28.4441337,694.0,False
Unnamed settlement,square,-16.3288499,28.411017,283.0,False
Unnamed settlement,square,-16.3283909,28.417733,380.0,False
Playa del Inglés,suburb,-15.5740856,27.7594808,38.0,False
Plaza San Francisco de Paula,square,-16.3276937,28.4645504,622.0,False
Plaza del Pino,square,-16.4155545,28.340277,432.0,False
Plaza del Pino,square,-16.4152907,28.3404688,431.0,False
Unnamed settlement,square,-16.4153111,28.3401548,430.0,False
Plaza Nuestra Señora del Carmen,square,-16.4177541,28.3346947,440.0,False
Unnamed settlement,square,-16.4417545,28.4502054,608.0,False
Unnamed settlement,square,-16.4488353,28.4537798,482.0,False
Lomo Chillero,locality,-16.5125754,28.3571216,1148.0,False
Lomo la Tosca,locality,-16.7203715,28.1773237,1223.0,False
Lomo el Berodal,locality,-16.7701314,28.1653111,369.0,False
Lomo el Retamar,locality,-16.6990523,28.1834252,1590.0,False
Lomo las Rosas,locality,-16.7697812,28.183335,468.0,False
Lomo el Berodal,locality,-16.7697768,28.1653377,373.0,False
Loma el Choro,locality,-16.7557992,28.1977135,829.0,False
Lomo del Seco,locality,-16.5449343,28.1557522,699.0,False
Seima,locality,-17.1614522,28.0614321,229.0,False
Loma de Tecina,locality,-17.1944076,28.0438095,263.0,False
Mérica,locality,-17.337209,28.1100092,733.0,False
