name,place,lon,lat,elevation_m,at_risk
Unnamed settlement,islet,177.6954718,-18.2043823,0.0,True
Unnamed settlement,islet,-178.6807685,-20.6069735,0.0,True
Qelelevu Island,island,-179.1618874,-16.0900394,0.0,True
Lami,town,178.4007546,-18.106804,56.0,False
Unnamed settlement,islet,178.521228,-18.0076234,8.0,False
Unnamed settlement,islet,178.5724522,-18.072799,1.0,True
Unnamed settlement,islet,178.5595545,-18.0806112,2.0,False
Unnamed settlement,islet,179.3381481,-16.7755069,6.0,False
Unnamed settlement,islet,179.340954,-16.7734632,0.0,True
Nawi Island,islet,179.3334703,-16.7742864,7.0,False
Unnamed settlement,islet,177.2186093,-17.209597,0.0,True
Kuata Island,island,177.1383474,-17.3700495,165.0,False
Kuata Island,islet,177.1340475,-17.359815,0.0,True
Waya Island,island,177.1245239,-17.2909816,322.0,False
Unnamed settlement,islet,177.1497318,-17.254241,0.0,True
Yawini,islet,177.5613694,-16.6874455,18.0,False
Hatana,island,176.9616369,-12.4785702,0.0,True
Magolailai Island,island,-179.1697655,-17.4735354,0.0,True
Unnamed settlement,islet,-179.2644419,-18.3811867,0.0,True
Kid Island,island,-179.1669613,-17.4756594,0.0,True
White Rock,islet,177.2420618,-17.3760272,0.0,True
Unnamed settlement,islet,178.3442133,-17.4667712,0.0,True
Unnamed settlement,islet,178.1406953,-18.2599234,6.0,False
Unnamed settlement,islet,178.1442251,-18.2602559,5.0,False
Unnamed settlement,islet,178.1424442,-18.2595503,6.0,False
Unnamed settlement,islet,178.1404458,-18.2590358,9.0,False
Unnamed settlement,islet,178.1404378,-18.2582079,9.0,False
Unnamed settlement,islet,178.1371038,-18.2590511,6.0,False
Unnamed settlement,islet,178.1118017,-17.3527611,0.0,True
Unnamed settlement,islet,178.1015898,-17.3516581,0.0,True
Unnamed settlement,islet,178.1165397,-17.3620421,0.0,True
Unnamed settlement,islet,178.1126905,-17.3522868,0.0,True
Unnamed settlement,village,179.3369689,-16.8024745,7.0,False
Unnamed settlement,islet,179.3804617,-16.8054544,20.0,False
Savasi Island,islet,179.3822301,-16.8042421,25.0,False
Unnamed settlement,hamlet,179.068967,-16.7645649,21.0,False
Unnamed settlement,hamlet,179.0955687,-16.7654555,16.0,False
Unnamed settlement,hamlet,179.0947498,-16.7677668,11.0,False
Unnamed settlement,hamlet,179.2584874,-16.6653399,15.0,False
Yaravudi,village,178.7746977,-17.6235841,9.0,False
Taviya,village,178.7671267,-17.6289277,5.0,False
Rukuruku,town,178.7552135,-17.6425984,4.0,False
Vatukalo,village,178.8210457,-17.6434342,5.0,False
Naqaidamu,village,179.4347588,-17.3211392,5.0,False
Unnamed settlement,village,179.433252,-17.3338021,10.0,False
Matei,town,-179.8799501,-16.6934156,0.0,True
Nuku,village,179.8291971,-18.5921182,6.0,False
Yaroi,village,179.7421923,-19.1333475,0.0,True
Raviravi,hamlet,179.7410907,-19.1703903,0.0,True
Levukaidaku,village,179.7614526,-19.1895892,0.0,True
Qalikarua,village,179.7848096,-19.1682054,0.0,True
Nawaisomo,village,178.131054,-18.3600747,8.0,False
Lalati,hamlet,178.1482837,-18.3762372,9.0,False
Dakuibeqa,village,178.132739,-18.4105452,11.0,False
Unnamed settlement,village,-178.7225373,-20.662419,0.0,True
Nukuni,village,-178.7214169,-20.6360048,0.0,True
Unnamed settlement,hamlet,-178.5975974,-19.1217055,0.0,True
Lami,town,178.4067448,-18.1132946,9.0,False
Suvavou Village,village,178.4144206,-18.1144373,17.0,False
Dakuiloa,village,-178.4685896,-18.4405753,0.0,True
Camel Rock,islet,177.0367385,-17.4765633,0.0,True
Tarakau,village,-179.3287012,-17.7253375,0.0,True
Lautoka,city,177.4482766,-17.6046057,8.0,False
Sigatoka,town,177.5077794,-18.1381611,16.0,False
Nausori,town,178.5289994,-18.0287189,11.0,False
Nasinu,town,178.4807568,-18.0964402,65.0,False
Unnamed settlement,village,-178.7962536,-17.2865743,0.0,True
Susui Island,island,-178.9553052,-17.3458788,0.0,True
Tubou,town,-178.810653,-18.2349213,0.0,True
Waciwaci,village,-178.7841383,-18.2399289,0.0,True
Vakano,village,-178.7920493,-18.1791388,0.0,True
Levuka,town,178.8333993,-17.6806903,3.0,False
Ba,town,177.6840732,-17.5457103,9.0,False
Navua,town,178.1644067,-18.2265812,8.0,False
Vaqatalaca,hamlet,-178.8347303,-18.2124882,0.0,True
Levuka,hamlet,-178.802514,-18.2429732,0.0,True
Unnamed settlement,islet,-179.4991303,-17.244037,0.0,True
Ketei,village,-179.819541,-18.9515952,0.0,True
Unnamed settlement,islet,-179.4971694,-17.246998,0.0,True
Unnamed settlement,islet,-179.4982519,-17.2440046,0.0,True
Muanikau,suburb,178.4393254,-18.1567551,20.0,False
Nasese,suburb,178.4271113,-18.1578567,6.0,False
The Domain,suburb,178.431429,-18.1514538,33.0,False
Laucala Bay,suburb,178.4439173,-18.1499449,22.0,False
Toorak,suburb,178.4331027,-18.1393826,45.0,False
Raiwai,suburb,178.4477797,-18.1412178,12.0,False
Flagstaff,suburb,178.4380808,-18.1428898,39.0,False
Raiwaqa,suburb,178.4492571,-18.1346459,12.0,False
Vatuwaqa,suburb,178.4616597,-18.1309754,6.0,False
Tamavua,suburb,178.4412491,-18.110378,94.0,False
Wailoku,suburb,178.436065,-18.0948937,96.0,False
Namadi Heights,suburb,178.4505618,-18.1075717,40.0,False
